week,range,new_user,old_user,total_user
Week 1,2018-09-23 - 2018-09-29,1074,0,1074
Week 2,2018-09-30 - 2018-10-06,479,1074,1553
Week 3,2018-10-07 - 2018-10-13,353,1553,1906
Week 4,2018-10-14 - 2018-10-20,240,1906,2146
Week 5,2018-10-21 - 2018-10-27,163,2146,2309
Week 6,2018-10-28 - 2018-11-03,266,2309,2575
Week 7,2018-11-04 - 2018-11-10,153,2575,2728
Week 8,2018-11-11 - 2018-11-17,418,2728,3146
Week 9,2018-11-18 - 2018-11-24,1773,3146,4919
Week 10,2018-11-25 - 2018-12-01,271,4919,5190
Week 11,2018-12-02 - 2018-12-08,152,5190,5342
Week 12,2018-12-09 - 2018-12-15,88,5342,5430
Week 13,2018-12-16 - 2018-12-22,116,5430,5546
Week 14,2018-12-23 - 2018-12-29,62,5546,5608
Week 15,2018-12-30 - 2019-01-05,54,5608,5662
Week 16,2019-01-06 - 2019-01-12,67,5662,5729
Week 17,2019-01-13 - 2019-01-19,75,5729,5804
Week 18,2019-01-20 - 2019-01-26,85,5804,5889
Week 19,2019-01-27 - 2019-02-02,79,5889,5968
Week 20,2019-02-03 - 2019-02-09,71,5968,6039
Week 21,2019-02-10 - 2019-02-16,44,6039,6083
Week 22,2019-02-17 - 2019-02-23,65,6083,6148
Week 23,2019-02-24 - 2019-03-02,66,6148,6214
Week 24,2019-03-03 - 2019-03-09,49,6214,6263
Week 25,2019-03-10 - 2019-03-16,96,6263,6359
Week 26,2019-03-17 - 2019-03-23,111,6359,6470
Week 27,2019-03-24 - 2019-03-30,57,6470,6527
Week 28,2019-03-31 - 2019-04-06,57,6527,6584
Week 29,2019-04-07 - 2019-04-13,48,6584,6632
Week 30,2019-04-14 - 2019-04-20,59,6632,6691
Week 31,2019-04-21 - 2019-04-27,69,6691,6760
Week 32,2019-04-28 - 2019-05-04,20,6760,6780
Week 33,2019-05-05 - 2019-05-11,66,6780,6846
Week 34,2019-05-12 - 2019-05-18,62,6846,6908
Week 35,2019-05-19 - 2019-05-25,65,6908,6973
Week 36,2019-05-26 - 2019-06-01,8,6973,6981
Week 37,2019-06-02 - 2019-06-08,67,6981,7048
Week 38,2019-06-09 - 2019-06-15,44,7048,7092
Week 39,2019-06-16 - 2019-06-22,34,7092,7126
Week 40,2019-06-23 - 2019-06-29,30,7126,7156
Week 41,2019-06-30 - 2019-07-06,36,7156,7192
Week 42,2019-07-07 - 2019-07-13,49,7192,7241
Week 43,2019-07-14 - 2019-07-20,25,7241,7266
Week 44,2019-07-21 - 2019-07-27,36,7266,7302
Week 45,2019-07-28 - 2019-08-03,48,7302,7350
Week 46,2019-08-04 - 2019-08-10,35,7350,7385
Week 47,2019-08-11 - 2019-08-17,3,7385,7388